year_awarded,date_awarded,notice_type,notice_id,contract_name,project_id,project_name,sector,sector_reclassifcation,project_type,procurement_channel,data_source,record_id,bid_reference_no,contract_url,country,contract_value_usd,contract_currency,winning_firm_name,winning_firm_name_zh,winning_firm_code,winning_firm_country,winning_firm_is_chinese,winning_firm_is_soe,joint_venture,firm_registered_locally
2002,2002-04-12,Contract,1215237,"PURCHASE OF ENERGY METERS AND ACCESSORIES, ITEM 2",P008177,Uruguay Power Transmission & Distribution Project,,Infrastructure & Energy,Goods,Project procurement contracts,World Bank,1215237,"FF31, HOLLEY GROUP CO. LTD. (ITEM 2)",https://projects.worldbank.org/en/projects-operations/contractoverview/1215237,Uruguay,65750.0,USD,HOLLEY GROUP CO. LTD.,华立集团有限公司,89346,China,1,1,0,0.0
2001,2001-06-27,Contract,1211670,"ADQUISICION DE EQUIPOS MEDICOS PARA 6 DEPTOS. CONCEPCIÓN, SAN PEDRO, ALTO PARANA, AMAMBAY, CANINDEYU, ALTO PARAGUAY",P007927,PY-Maternal Health and Child Development Project,Public Admin; Education; Health,Education,Goods,Project procurement contracts,World Bank,1211670,"ARGON LOTE 4,5,;9,4; 12.2;15.3",https://projects.worldbank.org/en/projects-operations/contractoverview/1211670,Paraguay,126221.45,USD,ARGON; ST. FRANCIS MEDICAL,氩气；英石。方济各医疗,85513; 90079,Paraguay; China,1,0,1,0.0
2021,2021-11-19,,SUB0904,Health Services Improvement Project,SU-L1054,Health Services Improvement Project,HEALTH SYSTEM STRENGTHENING,Health,Loan Operation,Direct Contracting/Selection,IDB,,,,SURINAME,109400.0,USD,TIANJIN YORKOOL INT TRADI,天津优固国际贸易有限公司,CN,CHINA,1,0,0,
2020,2020-03-06,,TTA1788,Health Services Support Program,TT-L1039,Health Services Support Program,HEALTH SYSTEM STRENGTHENING,Health,Loan Operation,Direct Contracting/Selection,IDB,,,,TRINIDAD AND TOBAGO,290000.0,USD,BGI HEALTH (HK) CO. LTD,华大健康（香港）有限公司,CN,CHINA,1,0,0,
2025,2025-10-10,,BO-L1190-P00071-C02,Electricity Infrastructure Expansion Program,BO-L1190,Electricity Infrastructure Expansion Program,NEW POWER DISTRIBUTION & TRANSMISSION PROJECTS,Infrastructure & Energy,Loan Operation,International Competitive Bidding,IDB,,,,BOLIVIA,609435.16,USD,"SHANDONG RUITAI GLASS INSULATOR CO.,LTD",山东瑞泰玻璃绝缘子有限公司,CN,CHINA,1,0,0,
2023,2023-04-24,,SUA0378,Consolidating a Sustainable Energy Sector,SU-L1055,Consolidating a Sustainable Energy Sector,RURAL ELECTRIFICATION,Infrastructure & Energy,Loan Operation,International Competitive Bidding,IDB,,,,SURINAME,689813.0,USD,SINO SOAR HYBRID TECH CO,中翔混合动力科技有限公司,CN,CHINA,1,0,0,
2025,2025-04-04,,BO-L1190-P00064-C01,Electricity Infrastructure Expansion Program,BO-L1190,Electricity Infrastructure Expansion Program,NEW POWER DISTRIBUTION & TRANSMISSION PROJECTS,Infrastructure & Energy,Loan Operation,International Competitive Bidding,IDB,,,,BOLIVIA,782352.85,USD,"SHENZHEN SDG INFORMATION CO., LTD.",深圳市特发信息股份有限公司,CN,CHINA,1,1,0,
2023,2023-04-07,,SU-L1055-P00039-C01,Consolidating a Sustainable Energy Sector,SU-L1055,Consolidating a Sustainable Energy Sector,RURAL ELECTRIFICATION,Infrastructure & Energy,Loan Operation,International Competitive Bidding,IDB,,,,SURINAME,869286.27,USD,"Sino Soar Hybrid (Beijing) Technology Co.,Ltd.",中翔混合动力（北京）科技有限公司,CN,CHINA,1,0,0,
2025,2025-10-10,,BO-L1190-P00071-C01,Electricity Infrastructure Expansion Program,BO-L1190,Electricity Infrastructure Expansion Program,NEW POWER DISTRIBUTION & TRANSMISSION PROJECTS,Infrastructure & Energy,Loan Operation,International Competitive Bidding,IDB,,,,BOLIVIA,1048109.0,USD,"JIANGSU SHUANGHUI POWER DEVELOPMENT CO.,LTD.",江苏双汇电力发展有限公司,CN,CHINA,1,1,0,
2025,2025-04-07,,PN-L1154-P0049-C02,Comprehensive urban urban development program with tourist vocations,PN-L1154,Comprehensive urban urban development program with tourist vocations,URBAN LAND PLANNING AND MANAGEMENT,Infrastructure & Energy,Loan Operation,International Competitive Bidding,IDB,,,,PANAMA,1399300.0,USD,"YUTONG  BUS CO., LTD",宇通客车股份有限公司,CN,CHINA,1,0,0,
2022,2022-11-23,,SU-L1055-P00038-C01,Consolidating a Sustainable Energy Sector,SU-L1055,Consolidating a Sustainable Energy Sector,RURAL ELECTRIFICATION,Infrastructure & Energy,Loan Operation,International Competitive Bidding,IDB,,,,SURINAME,1778860.86,USD,"Sino Soar Hybrid (Beijing) Technology Co.,Ltd.",中翔混合动力（北京）科技有限公司,CN,CHINA,1,0,0,
2025,2025-01-30,,BA-L1012-P00017-C01,Deployment of Cleaner Fuels and Renewable Energies in Barbados,BA-L1012,Deployment of Cleaner Fuels and Renewable Energies in Barbados,ENERGY SECTOR REHABILITATION AND EFFICIENCY,Infrastructure & Energy,Loan Operation,International Competitive Bidding,IDB,,,,BARBADOS,2351703.3,USD,INSTEC-Sino Soar Consortium,中国科学院战略研究联合体,CN,CHINA,1,1,0,
2023,2023-09-26,,SU-L1055-P00036-C02,Consolidating a Sustainable Energy Sector,SU-L1055,Consolidating a Sustainable Energy Sector,RURAL ELECTRIFICATION,Infrastructure & Energy,Loan Operation,International Competitive Bidding,IDB,,,,SURINAME,2548146.0,USD,Power China Jhianxi electric power contruction co. Ltd.,国家电网有限公司江西分公司,CN,CHINA,1,1,0,
2019,2019-10-07,,SUA0332,Paramaribo Urban Rehabilitation Program,SU-L1046,Paramaribo Urban Rehabilitation Program,URBAN REHABILITATION AND HERITAGE,Infrastructure & Energy,Loan Operation,International Competitive Bidding,IDB,,,,SURINAME,3409251.0,USD,THE 23RD METALLURGICAL CO,中国冶金建设有限公司,CN,CHINA,1,1,0,
2025,2025-01-31,,TT-L1055-P00092-C01,Trinidad and Tobago National Water Sector Transformation Program,TT-L1055,Trinidad and Tobago National Water Sector Transformation Program,WATER SUPPLY URBAN,"Water, Sanitation & Waste",Loan Operation,International Competitive Bidding,IDB,,,,TRINIDAD AND TOBAGO,5870462.39,USD,SINOHYDRO Corporation Limited,中国水电有限公司,CN,CHINA,1,1,0,
2021,2021-05-18,,ECA2876,Support for the Advancement of the Energy Matrix Transition in Ecuador,EC-L1223,Support for the Advancement of the Energy Matrix Transition in Ecuador,NEW POWER DISTRIBUTION & TRANSMISSION PROJECTS,Infrastructure & Energy,Loan Operation,International Competitive Bidding,IDB,,,,ECUADOR,6024168.0,USD,HENAN DINGLI POWER EQUIPM,河南鼎力动力设备有限公司,CN,CHINA,1,0,0,
2021,2021-05-18,,ECA2877,Support for the Advancement of the Energy Matrix Transition in Ecuador,EC-L1223,Support for the Advancement of the Energy Matrix Transition in Ecuador,NEW POWER DISTRIBUTION & TRANSMISSION PROJECTS,Infrastructure & Energy,Loan Operation,International Competitive Bidding,IDB,,,,ECUADOR,7261436.0,USD,HENAN DINGLI POWER EQUIPM,河南鼎力动力设备有限公司,CN,CHINA,1,0,0,
2024,2024-11-01,,BO-L1190-P00019-C01,Electricity Infrastructure Expansion Program,BO-L1190,Electricity Infrastructure Expansion Program,NEW POWER DISTRIBUTION & TRANSMISSION PROJECTS,Infrastructure & Energy,Loan Operation,International Competitive Bidding,IDB,,,,BOLIVIA,7725322.86,USD,TBEA SHANDONG LUNENG TAISHAN CABLE CO. LTD,特变电工山东鲁能泰山电缆有限公司,CN,CHINA,1,0,0,
2024,2024-09-06,,SU-L1052-P00002-C01,Sustainable Agricultural Productivity Program,SU-L1052,Sustainable Agricultural Productivity Program,IRRIGATION AND DRAINAGE,"Water, Sanitation & Waste",Loan Operation,International Competitive Bidding,IDB,,,,SURINAME,7789273.23,USD,Power China Jhianxi electric power contruction co. Ltd.,国家电网有限公司江西分公司,CN,CHINA,1,1,0,
2022,2022-03-14,,PEA7986,Improving Tax and Customs Revenue Collection Services Through Digital Transformation,PE-L1239,Improving Tax and Customs Revenue Collection Services Through Digital Transformation,FISCAL POLICY FOR SUSTAINABILITY AND GROWTH,Digital Economy & ICT,Loan Operation,International Competitive Bidding,IDB,,,,PERU,7900000.0,USD,NUCTECH COMPANY LIMITED,同方威视股份有限公司,CN,CHINA,1,0,0,
2024,2024-08-23,,BO-L1190-P00042-C01,Electricity Infrastructure Expansion Program,BO-L1190,Electricity Infrastructure Expansion Program,NEW POWER DISTRIBUTION & TRANSMISSION PROJECTS,Infrastructure & Energy,Loan Operation,International Competitive Bidding,IDB,,,,BOLIVIA,8309935.75,USD,PINGGAO GROUP INTERNATIONAL ENGINEERING CO. LTD.,平高集团国际工程有限公司,CN,CHINA,1,1,0,
2023,2023-08-16,,SUA2213,Health Services Improvement Project,SU-L1054,Health Services Improvement Project,HEALTH SYSTEM STRENGTHENING,Health,Loan Operation,,IDB,,,,SURINAME,12845260.0,USD,THE 23RD METALLURGICAL CONSTRUCTION GROUP,第二十三冶金建设集团公司,CN,CHINA,1,1,0,
2023,2023-12-27,,ECA2895,Sustainable Management of Underground Resources and Associated Infrastructure,EC-L1257,Sustainable Management of Underground Resources and Associated Infrastructure,NEW OIL AND GAS AND EXTRACTIVE INDUSTRIES,Infrastructure & Energy,Loan Operation,International Competitive Bidding,IDB,,,,ECUADOR,13300000.0,USD,AVIC INT HOLDING CORP,中航国际控股股份有限公司,CN,CHINA,1,1,0,
2021,2021-05-18,,ECA2875,Support for the Advancement of the Energy Matrix Transition in Ecuador,EC-L1223,Support for the Advancement of the Energy Matrix Transition in Ecuador,NEW POWER DISTRIBUTION & TRANSMISSION PROJECTS,Infrastructure & Energy,Loan Operation,International Competitive Bidding,IDB,,,,ECUADOR,13782973.0,USD,CONSORCIOS LONGFOR,财团渴望,CN,CHINA,1,0,0,
2023,2023-11-16,,SU-L1057-P00036-C01,Improving Transport Logistics and Competitiveness in Suriname,SU-L1057,Improving Transport Logistics and Competitiveness in Suriname,PORT INFRASTRUCTURE,"Industry, Trade & Finance",Loan Operation,International Competitive Bidding,IDB,,,,SURINAME,16689701.44,USD,Joint Venture: China Road and Bridge Corporation & Kuldipsingh Infra NV,中国路桥工程有限责任公司与库迪普辛格基础设施公司合资,CN,CHINA,1,1,0,
2024,2024-12-17,,GYB1390,Health Care Network Strengthening in Guyana,GY-L1080,Health Care Network Strengthening in Guyana,HEALTH SYSTEM STRENGTHENING,Health,Loan Operation,National Competive Bidding,IDB,,,,GUYANA,21269051.0,USD,PCI-SINOPHARMINTL CONSORT,中国医药集团国际联合体,CN,CHINA,1,1,0,
2025,2025-05-21,,GY-G1007-P00003-C01,Guyana Utility Scale Solar Photovoltaic Program (Guysol),GY-G1007,Guyana Utility Scale Solar Photovoltaic Program (Guysol),ENERGY EFFICIENCY AND RENEWABLE ENERGY IN END USE,Infrastructure & Energy,Investment Grants,International Competitive Bidding,IDB,,,,GUYANA,22588888.0,USD,Joint Venture of SUMEC Complete Equipment & Engineering Co. Ltd and XJ Group Corporation,苏梅达集团与新晶集团合资,CN,CHINA,1,1,0,
2024,2024-12-17,,GYB1389,Health Care Network Strengthening in Guyana,GY-L1080,Health Care Network Strengthening in Guyana,HEALTH SYSTEM STRENGTHENING,Health,Loan Operation,National Competive Bidding,IDB,,,,GUYANA,27429307.0,USD,PCI-SINOPHARMINTL CONSORT,中国医药集团国际联合体,CN,CHINA,1,1,0,
2024,2024-11-05,,GYB1383,Health Care Network Strengthening in Guyana,GY-L1080,Health Care Network Strengthening in Guyana,HEALTH SYSTEM STRENGTHENING,Health,Loan Operation,National Competive Bidding,IDB,,,,GUYANA,31099200.0,USD,CMEC - SINOPHARMINTL CONS,中国机械工程-国药国际联合体,CN,CHINA,1,1,0,
2024,2024-01-16,,JA-L1049-P61395-C01,Support for the Health Systems Strengthening for the Prevention and Care Management of Non-Communicable Diseases Programme,JA-L1049,Support for the Health Systems Strengthening for the Prevention and Care Management of Non-Communicable Diseases Programme,HEALTH SYSTEM STRENGTHENING,Health,Loan Operation,International Competitive Bidding,IDB,,,,JAMAICA,35182672.02,USD,Jiangsu Zhenhuai Construction Group Co. Ltd,江苏振淮建设集团有限公司,CN,CHINA,1,1,0,
2024,2024-03-26,,GYB1353,Guyana Utility Scale Solar Photovoltaic Program (Guysol),GY-G1007,Guyana Utility Scale Solar Photovoltaic Program (Guysol),ENERGY EFFICIENCY AND RENEWABLE ENERGY IN END USE,Infrastructure & Energy,Investment Grants,International Competitive Bidding,IDB,,,,GUYANA,37794412.0,USD,SUMEC COMPLETE EQUIPMENT,苏梅达集团股份有限公司,CN,CHINA,1,1,0,
2017,2017-12-11,,GYB1008,Road Network Upgrade and Expansion Program,GY-L1031,Road Network Upgrade and Expansion Program,TRANSPORT,Infrastructure & Energy,Loan Operation,International Competitive Bidding,IDB,,,,GUYANA,38198002.0,USD,SINOHYDRO CORPORATION LTD,中国水电股份有限公司,CN,CHINA,1,1,0,
2024,2024-02-22,,GYA0660,Program to Support Climate Resilient Road Infrastructure Development,GY-L1081,Program to Support Climate Resilient Road Infrastructure Development,MAJOR HIGHWAYS,Infrastructure & Energy,Loan Operation,National Competive Bidding,IDB,,,,GUYANA,75887908.0,USD,CHINA ROAD AND BRIDGE COR,中国路桥工程有限责任公司,CN,CHINA,1,1,0,
2018,2018-06-04,,BOA6446,Multipurpose Water Supply and Irrigation Program For the Municipios of Batallas,BO-L1080,Multipurpose Water Supply and Irrigation Program For the Municipios of Batallas,WATER SUPPLY RURAL AND PERI-URBAN,"Water, Sanitation & Waste",Loan Operation,International Competitive Bidding,IDB,,,,BOLIVIA,110236342.0,USD,ASOCC ACCID S&Z,ASOCC ACCID S&Z,CN,CHINA,1,0,0,
2018,2018-06-04,,BO-L1080-P00275-C01,Multipurpose Water Supply and Irrigation Program For the Municipios of Batallas,BO-L1080,Multipurpose Water Supply and Irrigation Program For the Municipios of Batallas,WATER SUPPLY RURAL AND PERI-URBAN,"Water, Sanitation & Waste",Loan Operation,International Competitive Bidding,IDB,,,,BOLIVIA,111229863.79,USD,ASOCIACION ACCIDENTAL S&Z,萨斯万德兹公司联合体,CN,CHINA,1,0,0,
2019,2019-03-28,,BOA6462,Rural Electrification Program II,BO-L1117,Rural Electrification Program II,RURAL ELECTRIFICATION,Infrastructure & Energy,Loan Operation,International Competitive Bidding,IDB,,,,BOLIVIA,93840.0,USD,HENGTONG OPTIC ELECTRIC C,亨通集团股份有限公司,CN,CHINA,1,1,0,
2018,2018-12-11,,HAA6730,Private Sector Development through Investment Promotion,HA-L1078,Private Sector Development through Investment Promotion,EXPORT AND INVESTMENT PROMOTION,"Industry, Trade & Finance",Grant Financing Product,,IDB,,,,HAITI,120000.0,USD,WAVTEQ LIMITED,沃泰克有限公司,CN,CHINA,1,0,0,
2013,2013-12-11,,BOA6284,Cochabamba - La Paz Transmission Line,BO-L1072,Cochabamba - La Paz Transmission Line,NEW POWER DISTRIBUTION & TRANSMISSION PROJECTS,Infrastructure & Energy,Loan Operation,International Competitive Bidding,IDB,,,,BOLIVIA,121137.0,USD,CHINANAT.ELEC W&CIMP/EXP,中国国电进出口有限公司,CN,CHINA,1,1,0,
2013,2013-09-18,,PNA5808,Competitiveness and Trade,PN-L1014,Competitiveness and Trade,BUSINESS CLIMATE AND COMPETITIVENESS,"Industry, Trade & Finance",Loan Operation,,IDB,,,,PANAMA,197175.0,USD,HONG KONG WORLDTRADE CENTERS ASSOC,香港世界贸易中心协会,CN,CHINA,1,0,0,
2014,2014-06-05,,BOB0594,Rural Electrification Program,BO-L1050,Rural Electrification Program,RURAL ELECTRIFICATION,Infrastructure & Energy,Loan Operation,National Competive Bidding,IDB,,,,BOLIVIA,214123.0,USD,JIANGZU ZHONGTIAN TEC CO,江祖中天科技有限公司,CN,CHINA,1,0,0,
2017,2017-08-09,,HAA6358,Private Sector Development through Investment Promotion,HA-L1078,Private Sector Development through Investment Promotion,EXPORT AND INVESTMENT PROMOTION,"Industry, Trade & Finance",Grant Financing Product,,IDB,,,,HAITI,240275.0,USD,WAVTEQ LIMITED,沃泰克有限公司,CN,CHINA,1,0,0,
2013,2013-12-11,,BOA6286,Cochabamba - La Paz Transmission Line,BO-L1072,Cochabamba - La Paz Transmission Line,NEW POWER DISTRIBUTION & TRANSMISSION PROJECTS,Infrastructure & Energy,Loan Operation,International Competitive Bidding,IDB,,,,BOLIVIA,258750.0,USD,PEOPLES CABLE GROUP CO LT,人民电缆集团有限公司,CN,CHINA,1,1,0,
2016,2016-11-15,,JAA3228,Public Sector Efficiency Program,JA-X1007,Public Sector Efficiency Program,REFORM AND PUBLIC SECTOR SUPPORT,Public Admin & Governance,Investment Grants,,IDB,,,,JAMAICA,263300.0,USD,INFOCIVITAS LIMITED,信息有限公司,CN,CHINA,1,0,0,
2014,2014-08-27,,BOA6348,Rural Electrification Program,BO-L1050,Rural Electrification Program,RURAL ELECTRIFICATION,Infrastructure & Energy,Loan Operation,International Competitive Bidding,IDB,,,,BOLIVIA,297306.0,USD,TBEA SHANDONG LUNENG TAIS,特变电工山东鲁能泰斯,CN,CHINA,1,1,0,
2014,2014-08-22,,BOA6340,Cochabamba - La Paz Transmission Line,BO-L1072,Cochabamba - La Paz Transmission Line,NEW POWER DISTRIBUTION & TRANSMISSION PROJECTS,Infrastructure & Energy,Loan Operation,International Competitive Bidding,IDB,,,,BOLIVIA,327455.0,USD,PEOPLES CABLE GROUP CO LT,人民电缆集团有限公司,CN,CHINA,1,1,0,
2019,2019-03-29,,BOA6461,Rural Electrification Program II,BO-L1117,Rural Electrification Program II,RURAL ELECTRIFICATION,Infrastructure & Energy,Loan Operation,International Competitive Bidding,IDB,,,,BOLIVIA,343689.0,USD,HENGTONG OPTIC ELECTRIC C,亨通集团股份有限公司,CN,CHINA,1,1,0,
2019,2019-05-06,,BOB0681,Rural Electrification Program II,BO-L1117,Rural Electrification Program II,RURAL ELECTRIFICATION,Infrastructure & Energy,Loan Operation,National Competive Bidding,IDB,,,,BOLIVIA,350637.0,USD,CHINA NAT CABLE ENG. CO.,中国国电布防有限公司,CN,CHINA,1,1,0,
2014,2014-04-08,,CRA2562,Power Sector Development Program 2012-2016 (Reventazon Hydroelectric Project),CR-L1049,Power Sector Development Program 2012-2016 (Reventazon Hydroelectric Project),NEW HYDROPOWER PROJECTS,Infrastructure & Energy,Loan Operation,International Competitive Bidding,IDB,,,,COSTA RICA,411945.0,USD,SUMEC COMPLETE EQUIPMENT,苏梅达集团股份有限公司,CN,CHINA,1,1,0,
2013,2013-12-03,,BOA6282,Rural Electrification Program,BO-L1050,Rural Electrification Program,RURAL ELECTRIFICATION,Infrastructure & Energy,Loan Operation,International Competitive Bidding,IDB,,,,BOLIVIA,412903.0,USD,CHINA NATIONAL W&C M&X,中国机械进出口集团有限公司,CN,CHINA,1,1,0,
2013,2013-12-03,,BOB0570,Cochabamba - La Paz Transmission Line,BO-L1072,Cochabamba - La Paz Transmission Line,NEW POWER DISTRIBUTION & TRANSMISSION PROJECTS,Infrastructure & Energy,Loan Operation,National Competive Bidding,IDB,,,,BOLIVIA,412903.0,USD,CHINANAT.ELEC W&CIMP/EXP,中国国电进出口有限公司,CN,CHINA,1,1,0,
2017,2017-03-28,,HAA6333,Private Sector Development through Investment Promotion,HA-L1078,Private Sector Development through Investment Promotion,EXPORT AND INVESTMENT PROMOTION,"Industry, Trade & Finance",Grant Financing Product,,IDB,,,,HAITI,492760.0,USD,WAVTEQ LIMITED,沃泰克有限公司,CN,CHINA,1,0,0,
2018,2018-03-01,,HAA6463,Private Sector Development through Investment Promotion,HA-L1078,Private Sector Development through Investment Promotion,EXPORT AND INVESTMENT PROMOTION,"Industry, Trade & Finance",Grant Financing Product,,IDB,,,,HAITI,500000.0,USD,WAVTEQ LIMITED,沃泰克有限公司,CN,CHINA,1,0,0,
2014,2014-03-31,,BOB0585,Rural Electrification Program,BO-L1050,Rural Electrification Program,RURAL ELECTRIFICATION,Infrastructure & Energy,Loan Operation,Others,IDB,,,,BOLIVIA,561173.0,USD,CHINA NATIONAL W&C M&X,中国机械进出口集团有限公司,CN,CHINA,1,1,0,
2010,2010-09-30,,CRA2242,First Electric Power Sector Development Program 2008-2011,CR-L1009,First Electric Power Sector Development Program 2008-2011,NEW POWER DISTRIBUTION & TRANSMISSION PROJECTS,Infrastructure & Energy,Loan Operation,International Competitive Bidding,IDB,,,,COSTA RICA,605000.0,USD,CHINT ELECTRIC CO LTD,正泰电气股份有限公司,CN,CHINA,1,0,0,
2014,2014-07-25,,BOB0602,Rural Electrification Program,BO-L1050,Rural Electrification Program,RURAL ELECTRIFICATION,Infrastructure & Energy,Loan Operation,National Competive Bidding,IDB,,,,BOLIVIA,781602.0,USD,SHANDONG POWER EQ CO.LTD,山东省电能环保股份有限公司,CN,CHINA,1,1,0,
2013,2013-09-30,,BOB0562,Cochabamba - La Paz Transmission Line,BO-L1072,Cochabamba - La Paz Transmission Line,NEW POWER DISTRIBUTION & TRANSMISSION PROJECTS,Infrastructure & Energy,Loan Operation,National Competive Bidding,IDB,,,,BOLIVIA,792449.0,USD,CHINA NATIONAL W&C M&X,中国机械进出口集团有限公司,CN,CHINA,1,1,0,
2019,2019-01-30,,BOA6459,Rural Electrification Program II,BO-L1117,Rural Electrification Program II,RURAL ELECTRIFICATION,Infrastructure & Energy,Loan Operation,International Competitive Bidding,IDB,,,,BOLIVIA,819168.0,USD,ZTT INTERNATIONAL LIMITED,中天国际有限公司,CN,CHINA,1,0,0,
2013,2013-10-08,,BOB0564,Rural Electrification Program,BO-L1050,Rural Electrification Program,RURAL ELECTRIFICATION,Infrastructure & Energy,Loan Operation,National Competive Bidding,IDB,,,,BOLIVIA,1051200.0,USD,CHINA NATIONAL W&C M&X,中国机械进出口集团有限公司,CN,CHINA,1,1,0,
2021,2021-11-01,,PRA2306,Support for the Transmission System in Paraguay,PR-L1058,Support for the Transmission System in Paraguay,NEW POWER DISTRIBUTION & TRANSMISSION PROJECTS,Infrastructure & Energy,Loan Operation,International Competitive Bidding,IDB,,,,PARAGUAY,1290300.0,USD,NARI TECHNOLOGY CO LTD,科技有限公司,CN,CHINA,1,0,0,
2013,2013-10-08,,BOB0563,Rural Electrification Program,BO-L1050,Rural Electrification Program,RURAL ELECTRIFICATION,Infrastructure & Energy,Loan Operation,National Competive Bidding,IDB,,,,BOLIVIA,1995000.0,USD,CHINA NAT CABLE ENG. CO.,中国国电布防有限公司,CN,CHINA,1,1,0,
2019,2019-02-22,,BOA6460,Rural Electrification Program II,BO-L1117,Rural Electrification Program II,RURAL ELECTRIFICATION,Infrastructure & Energy,Loan Operation,International Competitive Bidding,IDB,,,,BOLIVIA,2239131.0,USD,CHINA NAT CABLE ENG. CO.,中国国电布防有限公司,CN,CHINA,1,1,0,
2020,2020-12-10,,ECA7810,Support to the transmission program in Ecuador,EC-L1117,Support to the transmission program in Ecuador,ENERGY INTEGRATION,Infrastructure & Energy,Loan Operation,,IDB,,,,ECUADOR,2600459.0,USD,CHANGJIANG INSTITUTE OF SURVEY PLANNIG DESING AND RESEARCH,长江勘测规划设计研究有限公司,CN,CHINA,1,0,0,
2011,2011-05-06,,VEB0590,Support to the Action Social Center of Music Program. Phase II,VE-L1017,Support to the Action Social Center of Music Program. Phase II,SOCIAL INVESTMENT,"Industry, Trade & Finance",Loan Operation,National Competive Bidding,IDB,,,,VENEZUELA,2733280.0,USD,TAIXING FENGLING MUSICAL,泰兴凤玲音乐剧,CN,CHINA,1,0,0,
2013,2013-06-06,,HAB1204,Rehabilitation of Road Infrastructure for Integration of the Territory,HA-L1019,Rehabilitation of Road Infrastructure for Integration of the Territory,TRANSPORT,Infrastructure & Energy,Grant Financing Product,National Competive Bidding,IDB,,,,HAITI,3262839.0,USD,HONGYUAN CONSTRUCTION COM,宏远建设有限公司,CN,CHINA,1,1,0,
2013,2013-11-18,,BOB0568,Cochabamba - La Paz Transmission Line,BO-L1072,Cochabamba - La Paz Transmission Line,NEW POWER DISTRIBUTION & TRANSMISSION PROJECTS,Infrastructure & Energy,Loan Operation,National Competive Bidding,IDB,,,,BOLIVIA,4073509.0,USD,TBEA SHANDONG LUNENG TAIS,特变电工山东鲁能泰斯,CN,CHINA,1,1,0,
2013,2013-06-25,,BOA6189,Cochabamba - La Paz Transmission Line,BO-L1072,Cochabamba - La Paz Transmission Line,NEW POWER DISTRIBUTION & TRANSMISSION PROJECTS,Infrastructure & Energy,Loan Operation,International Competitive Bidding,IDB,,,,BOLIVIA,7880200.0,USD,TBEA SHANDONG LUNENG TAIS,特变电工山东鲁能泰斯,CN,CHINA,1,1,0,
2010,2010-09-30,,CRA2241,First Electric Power Sector Development Program 2008-2011,CR-L1009,First Electric Power Sector Development Program 2008-2011,NEW POWER DISTRIBUTION & TRANSMISSION PROJECTS,Infrastructure & Energy,Loan Operation,International Competitive Bidding,IDB,,,,COSTA RICA,9138680.0,USD,CHINT ELECTRIC CO LTD,正泰电气股份有限公司,CN,CHINA,1,0,0,
2019,2019-06-25,,TTA1786,WASA Modernization and Wastewater Infrastructure Rehabilitation Program,TT-L1018,WASA Modernization and Wastewater Infrastructure Rehabilitation Program,WATER AND SANITATION,"Water, Sanitation & Waste",Loan Operation,International Competitive Bidding,IDB,,,,TRINIDAD AND TOBAGO,9345157.0,USD,SINOHYDRO CORPORATION LTD,中国水电股份有限公司,CN,CHINA,1,1,0,
2013,2013-07-31,,BOA6192,Cochabamba - La Paz Transmission Line,BO-L1072,Cochabamba - La Paz Transmission Line,NEW POWER DISTRIBUTION & TRANSMISSION PROJECTS,Infrastructure & Energy,Loan Operation,International Competitive Bidding,IDB,,,,BOLIVIA,11098913.0,USD,NANJING DAJI STELL TM,南京大吉钢铁有限公司,CN,CHINA,1,0,0,
2020,2020-03-24,,BRB4007,Program for the Expansion and Improvement of Specialized Health Care in the State of Ceará II – PROEXMAES II,BR-L1408,Program for the Expansion and Improvement of Specialized Health Care in the State of Ceará II – PROEXMAES II,HEALTH SYSTEM STRENGTHENING,Health,Loan Operation,Direct Contracting/Selection,IDB,,,,BRAZIL,16100000.0,USD,CHINA MEHECO CORPORATION,中国医药对外贸易总公司,CN,CHINA,1,1,0,
2014,2014-04-08,,CRA2561,Power Sector Development Program 2012-2016 (Reventazon Hydroelectric Project),CR-L1049,Power Sector Development Program 2012-2016 (Reventazon Hydroelectric Project),NEW HYDROPOWER PROJECTS,Infrastructure & Energy,Loan Operation,International Competitive Bidding,IDB,,,,COSTA RICA,16446412.0,USD,SUMEC COMPLETE EQUIPMENT,苏梅达集团股份有限公司,CN,CHINA,1,1,0,
2020,2020-03-28,,BRB4008,Program for the Expansion and Improvement of Specialized Health Care in the State of Ceará II – PROEXMAES II,BR-L1408,Program for the Expansion and Improvement of Specialized Health Care in the State of Ceará II – PROEXMAES II,HEALTH SYSTEM STRENGTHENING,Health,Loan Operation,Direct Contracting/Selection,IDB,,,,BRAZIL,18364360.0,USD,CHINA MEHECO CORPORATION,中国医药对外贸易总公司,CN,CHINA,1,1,0,
2017,2017-08-31,,GYB0991,Water Supply and Sanitation Infrastructure Improvement Program,GY-L1040,Water Supply and Sanitation Infrastructure Improvement Program,WATER SUPPLY URBAN,"Water, Sanitation & Waste",Loan Operation,International Competitive Bidding,IDB,,,,GUYANA,19262548.0,USD,SINOHYDRO CORPORATION LTD,中国水电股份有限公司,CN,CHINA,1,1,0,
2019,2019-05-15,,GYA0545,Power Utility Upgrade Program,GY-L1041,Power Utility Upgrade Program,ENERGY SECTOR REHABILITATION AND EFFICIENCY,Infrastructure & Energy,Loan Operation,International Competitive Bidding,IDB,,,,GUYANA,20106854.0,USD,CMC-CSEEC CONSORTIUM,中国机械工程-中国成套集团联合体,CN,CHINA,1,1,0,
