award_year,notice_id,project_name,sector,country,procurement_type,winning_bid_raw,winning_country,winning_firm,currency_unit,contract_amount,contract_value_usd,notice_url,page_url,data_source
2020,CDB2020-005,Design and Project Supervision of the Montserrat Port Development Project,Infrastructure,Montserrat,Consultancy,"Canada-STANTEC Consultants International USD 1,679,882.59",Canada,-STANTEC Consultants International,USD,1679882.59,1679882.59,https://www.caribank.org/sites/default/files/publication-resources/Summary%20of%20Scores%20for%20Consultancy%20Montserrat%20Port%20Development%20Project.pdf,https://www.caribank.org/work-with-us/procurement/contract-awards?solr_publication_contract_awards_years_filter=2020,CDB
2020,CDB2020-006,Thematic Evaluation of CDB’s work through Development Financial Institutions and Other Financial Intermediaries (2012-19),Financial Services,CDB,Consultancy,"Germany- BKP Economic Advisors GmbH USD161,000.00",Germany,- BKP Economic Advisors GmbH,USD,161000.0,161000.0,https://www.caribank.org/sites/default/files/publication-resources/Contract-Award-Information-Template_Consultancy%20Services_DFI.pdf,https://www.caribank.org/work-with-us/procurement/contract-awards?solr_publication_contract_awards_years_filter=2020,CDB
2020,CDB2020-007,Supply of Backhoe – Pipe Storage Yard Equipment,Food Security,Jamaica,Goods,"Jamaica-Stewart’s Auto Sales trading as Stewart Industrial US$167,500.00",Jamaica,-Stewart’s Auto Sales trading as Stewart Industrial,US$,167500.0,167500.0,https://www.caribank.org/sites/default/files/publication-resources/Publication_Contract-Award-Supply_of_Pipe_Storage_Yard_Equipment.pdf,https://www.caribank.org/work-with-us/procurement/contract-awards?solr_publication_contract_awards_years_filter=2020,CDB
2020,CDB2020-008,Supply of Project Vehicles- Southern Plains Agricultural Development Project,Food Security,Jamaica,Goods,"Jamaica- ATL Automotive JMD12,440,000",Jamaica,- ATL Automotive,JMD,12440000.0,87357.81,https://www.caribank.org/sites/default/files/publication-resources/Publication_Contract-Award-Supply_Project_Vehicles_SPAD.pdf,https://www.caribank.org/work-with-us/procurement/contract-awards?solr_publication_contract_awards_years_filter=2020,CDB
2020,CDB2020-009,Charles E. Mills Secondary – St. Kitts (Renovations of TVET Space),Infrastructure,Saint Kitts and Nevis,Works,"St. Kitts and Nevis- Lennox Warner &amp; Partner XCD$976,111.57",St. Kitts and Nevis,- Lennox Warner &amp; Partner,XCD,976111.57,361522.8,https://www.caribank.org/sites/default/files/publication-resources/CONTRACT%20AWARD%20INFORMATION%20-%20CEMSS.pdf,https://www.caribank.org/work-with-us/procurement/contract-awards?solr_publication_contract_awards_years_filter=2020,CDB
2020,CDB2020-010,"Lot 1- Settlement Upgrading Project Construction of Residential Accesses, Drains and Footpaths – Bexon P1A",Infrastructure,Saint Lucia,Works,"St. Lucia - Dean Nicholas XCD 1,853,717.35",St. Lucia,- Dean Nicholas,XCD,1853717.35,686561.98,https://www.caribank.org/sites/default/files/publication-resources/Contract%20award%20information%20-%20Bexon%20P1A.pdf,https://www.caribank.org/work-with-us/procurement/contract-awards?solr_publication_contract_awards_years_filter=2020,CDB
2020,CDB2020-011,"Lot 2- Settlement Upgrading Project Construction of Residential Accesses, Drains and Footpaths – Bexon P1B",Infrastructure,Saint Lucia,Works,"St. Lucia - Jamecob’s Quality Construction Limited XCD 2,370,142.95",St. Lucia,- Jamecob’s Quality Construction Limited,XCD,2370142.95,877830.72,https://www.caribank.org/sites/default/files/publication-resources/Contract%20award%20information%20-%20Bexon%20P1B%20.pdf,https://www.caribank.org/work-with-us/procurement/contract-awards?solr_publication_contract_awards_years_filter=2020&page=1,CDB
2020,CDB2020-012,"Lot 3- Settlement Upgrading Project Construction of Residential Accesses, Drains and Footpaths – Bexon P1C",Infrastructure,Saint Lucia,Works,"St. Lucia - Jamecob’s Quality Construction Limited XCD 943,394.85",St. Lucia,- Jamecob’s Quality Construction Limited,XCD,943394.85,349405.5,https://www.caribank.org/sites/default/files/publication-resources/Contract%20award%20information%20-%20Bexon%20P1C.pdf,https://www.caribank.org/work-with-us/procurement/contract-awards?solr_publication_contract_awards_years_filter=2020&page=1,CDB
2020,CDB2020-013,"Consultancy Services for the Engineering Supervision of construction of civil works in connection with the Sixth Road (Coastal Highway Upgrading) Project, including post-construction activities",Infrastructure,Belize,Consultancy,"Italy- Politecnica Ingegneria Ed. Architettura Societa Cooperativa USD$2,640,000.00",Italy,- Politecnica Ingegneria Ed. Architettura Societa Cooperativa,USD,2640000.0,2640000.0,https://www.caribank.org/sites/default/files/publication-resources/Contract%20Award%20for%20Consultancy%20Services_Belize_6th%20road%20project.pdf,https://www.caribank.org/work-with-us/procurement/contract-awards?solr_publication_contract_awards_years_filter=2020&page=1,CDB
2020,CDB2020-014,SECOND ROAD INFRASTRUCTURE REHABILITATION PROJECT – DESIGN BUILD WORKS,Infrastructure,Antigua and Barbuda,Works,"Barbados- C.O. Williams Construction Ltd XCD 63,089,034.15",Barbados,- C.O. Williams Construction Ltd,XCD,63089034.15,23366308.94,https://www.caribank.org/sites/default/files/publication-resources/Contract-Award-Information_AB2ndRIRP_C.O.%20Williams.pdf,https://www.caribank.org/work-with-us/procurement/contract-awards?solr_publication_contract_awards_years_filter=2020&page=1,CDB
2020,CDB2020-015,"BELMOPAN POLYCLINC CONSTRUCTION, CITY OF BELMOPAN, CAYO DISTRICT, BELIZE (BSIF III)",Infrastructure,Belize,Works,"Belize- BAE CONSTRUCTION BZD$ 1, 134, 920.00",Belize,- BAE CONSTRUCTION,BZD,1134920.0,567460.0,https://www.caribank.org/sites/default/files/publication-resources/CONTRACT-AWARD-INFORMATION-Belmopan-Polyclinc.pdf,https://www.caribank.org/work-with-us/procurement/contract-awards?solr_publication_contract_awards_years_filter=2020&page=1,CDB
2020,CDB2020-016,Supply of Twenty-Six (26) Breath Alcohol Tester Kits,Transportation,Belize,Goods,"Belize- Tenchtronics Communications BZD$152,910.00",Belize,- Tenchtronics Communications,BZD,152910.0,76455.0,https://www.caribank.org/sites/default/files/publication-resources/CONTRACT_AWARD_INFORMATION%20%28Goods%29%20Twenty-Six%20%2826%29%20Breath%20Alcohol%20Tester%20Kits%2010222020_CDB%20comments.pdf,https://www.caribank.org/work-with-us/procurement/contract-awards?solr_publication_contract_awards_years_filter=2020&page=1,CDB
2020,CDB2020-017,Supply of Sixteen (16) Radar Speed Guns,Transportation,Belize,Goods,"Belize- Tenchtronics Communications BZD$ 433,511.00",Belize,- Tenchtronics Communications,BZD,433511.0,216755.5,https://www.caribank.org/sites/default/files/publication-resources/CONTRACT_AWARD_INFORMATION%20%28Goods%29%20Sixteen%20%2816%29%20Radar%20Speed%20Guns%2010222020_CDB%20comments.pdf,https://www.caribank.org/work-with-us/procurement/contract-awards?solr_publication_contract_awards_years_filter=2020&page=1,CDB
2020,CDB2020-018,Supply of LED Smart Ready Lamps for Public Street Lights,Climate,Suriname,Goods,"The Netherlands/China- HPS AGC Consortium USD 6,568,989.00",,The Netherlands/China- HPS AGC Consortium,USD,6568989.0,6568989.0,https://www.caribank.org/sites/default/files/publication-resources/Contract%20Award%20Information_Street%20Lights.pdf,https://www.caribank.org/work-with-us/procurement/contract-awards?solr_publication_contract_awards_years_filter=2020&page=1,CDB
2020,CDB2020-019,INSTITUTIONAL CAPACITY BUILDING WITHIN THE NATIONAL UTILITIES REGULATORY COMMISSION,Institutions,Trinidad and Tobago,Consultancy,"Trinidad &amp; Tobago- Odyssey Consult Inc. US$191,352",,Trinidad &amp; Tobago- Odyssey Consult Inc.,US$,191352.0,191352.0,https://www.caribank.org/sites/default/files/publication-resources/Contract-Award-Information-NURC.pdf,https://www.caribank.org/work-with-us/procurement/contract-awards?solr_publication_contract_awards_years_filter=2020&page=1,CDB
2020,CDB2020-020,HOPE HILL TO SABBATH HILL SLOPE STABILIZATION AND ROAD REHABILITATION,Infrastructure,British Virgin Islands,Works,"BVI Quality Construction Limited US$744,495.57",,BVI Quality Construction Limited,US$,744495.57,744495.57,https://www.caribank.org/sites/default/files/publication-resources/Contract%20Award_Hope%20Hill.pdf,https://www.caribank.org/work-with-us/procurement/contract-awards?solr_publication_contract_awards_years_filter=2020&page=1,CDB
2020,CDB2020-021,LEARNING MATERIALS/EQUIPMENT/SUPPLIES/YCT SECURITY CAMERAS,Education,Belize,Goods,"Belize Champion Security Systems Limited $28,802.25",Belize,Champion Security Systems Limited,$,28802.25,28802.25,https://www.caribank.org/sites/default/files/publication-resources/Contract-Award-Information%20-%20Security%20Cameras.pdf,https://www.caribank.org/work-with-us/procurement/contract-awards?solr_publication_contract_awards_years_filter=2020&page=2,CDB
2020,CDB2020-022,THE EXPANSION OF THE PRESENTATION BROTHER’S COLLEGE,Infrastructure,Grenada,Works,"Grenada Kenny’s Trucking &amp; Equipment Services Limited XCD $3,997,356.51",Grenada,Kenny’s Trucking &amp; Equipment Services Limited,XCD,3997356.51,1480502.41,https://www.caribank.org/sites/default/files/publication-resources/CONTRACT%20AWARD%20INFORMATION%20-%20PBC%20%281%29.pdf,https://www.caribank.org/work-with-us/procurement/contract-awards?solr_publication_contract_awards_years_filter=2020&page=2,CDB
2020,CDB2020-023,REHABILITATION AND EXPANSION OF THE BISHOPS COLLEGE,Infrastructure,Grenada,Works,"Trinidad &amp; Tobago Hanover Construction Company Limited XCD $9,088,397.29",,Trinidad &amp; Tobago Hanover Construction Company Limited,XCD,9088397.29,3366073.07,https://www.caribank.org/sites/default/files/publication-resources/CONTRACT%20AWARD%20INFORMATION%20-%20BISHOPS%20COLLEGE.pdf,https://www.caribank.org/work-with-us/procurement/contract-awards?solr_publication_contract_awards_years_filter=2020&page=2,CDB
2020,CDB2020-024,REHABILITATION AND EXPANSION OF THE GRENADA SDA COMPREHENSIVE,Infrastructure,Grenada,Works,"Grenada Kenny’s Trucking &amp; Equipment Services Limited XCD $7,262,330.09",Grenada,Kenny’s Trucking &amp; Equipment Services Limited,XCD,7262330.09,2689751.89,https://www.caribank.org/sites/default/files/publication-resources/CONTRACT%20AWARD%20INFORMATION%20-%20SDA.pdf,https://www.caribank.org/work-with-us/procurement/contract-awards?solr_publication_contract_awards_years_filter=2020&page=2,CDB
2020,CDB2020-025,Energy Efficiency and Solar PV Plant Inspection and Certification,Climate,Saint Vincent and the Grenadines,Consultancy,"Trinidad &amp; Tobago Ancile Brewster Cons Ltd &amp; D2F Technical Ltd USD169,321",,Trinidad &amp; Tobago Ancile Brewster Cons Ltd &amp; D2F Technical Ltd,USD,169321.0,169321.0,https://www.caribank.org/sites/default/files/publication-resources/CONTRACT%20AWARD%20INFORMATION%28CONSULTANCY_SERVICES%29%20Inspect%20%26%20Certifi.pdf,https://www.caribank.org/work-with-us/procurement/contract-awards?solr_publication_contract_awards_years_filter=2020&page=2,CDB
2020,CDB2020-026,EDUCATION QUALITY IMPROVEMENT PROJECT,Education,Saint Lucia,Consultancy,Multiple Contracts Multiple Contracts,,Multiple Contracts Multiple Contracts,,,,https://www.caribank.org/sites/default/files/publication-resources/Contract-Award-Information-Template_Consultancy-Services_Updated-20180111%20March%2024%202020.pdf,https://www.caribank.org/work-with-us/procurement/contract-awards?solr_publication_contract_awards_years_filter=2020&page=2,CDB
2020,CDB2020-027,Union River Defense and Training Works 􀂱 Lauders - Lowmans,Infrastructure,Saint Vincent and the Grenadines,Works,"St. Vincent and the Grenadines- Franco Construction Ltd XCD 1, 484,645.83",St. Vincent and the Grenadines,- Franco Construction Ltd,XCD,1484645.83,549868.83,https://www.caribank.org/sites/default/files/publication-resources/Contract_Award%20Union%20River%20Defense%20issued%20.pdf,https://www.caribank.org/work-with-us/procurement/contract-awards?solr_publication_contract_awards_years_filter=2020&page=2,CDB
2020,CDB2020-028,Yambou and Teviot River Defense and Training Works - Mesopotamia,Infrastructure,Saint Vincent and the Grenadines,Works,"St. Vincent and the Grenadines- Franco Construction Ltd XCD 3,425,634.79",St. Vincent and the Grenadines,- Franco Construction Ltd,XCD,3425634.79,1268753.63,https://www.caribank.org/sites/default/files/publication-resources/Contract_Award%20Yambou%20Defense.pdf,https://www.caribank.org/work-with-us/procurement/contract-awards?solr_publication_contract_awards_years_filter=2020&page=2,CDB
2020,CDB2020-029,Rehabilitation of Ferguson Mountain Road,Infrastructure,Saint Vincent and the Grenadines,Works,"St. Vincent and the Grenadines- Franco Construction Ltd XCD 3,434,844.49",St. Vincent and the Grenadines,- Franco Construction Ltd,XCD,3434844.49,1272164.63,https://www.caribank.org/sites/default/files/publication-resources/Contract_Award%20Ferguson%20Road.pdf,https://www.caribank.org/work-with-us/procurement/contract-awards?solr_publication_contract_awards_years_filter=2020&page=2,CDB
2020,CDB2020-030,Langley Park Feeder Road Upgrade,Infrastructure,Saint Vincent and the Grenadines,Works,"St. Lucia- O B Sadoo Engineering XCD 3,760,311.12",St. Lucia,- O B Sadoo Engineering,XCD,3760311.12,1392707.82,https://www.caribank.org/sites/default/files/publication-resources/Contract_Award%20Langley%20Park%20Road.pdf,https://www.caribank.org/work-with-us/procurement/contract-awards?solr_publication_contract_awards_years_filter=2020&page=2,CDB
2020,CDB2020-031,"Rural Water Supply Project - Jamaica Feasibility Study, Designs and Bid Documents",Water Resource Management,Jamaica,Consultancy,"France/JamaicaEgis Eau in Consortium with N. O. Whyte and Associates Ltd. USD 946,054",France; Jamaica,Egis Eau in Consortium with N. O. Whyte and Associates Ltd.,USD,946054.0,946054.0,https://www.caribank.org/sites/default/files/publication-resources/CONTRACT%20AWARD%20INFORMATION%28CONSULTANCY_SERVICES_%20Jamaica%20RWSP.pdf,https://www.caribank.org/work-with-us/procurement/contract-awards?solr_publication_contract_awards_years_filter=2020&page=3,CDB
2020,CDB2020-032,Provision of Six Fully Equipped Type III Ambulances,,Belize,Goods,"Belize Diesel and Equipment Company Limited BDZ$2,227,774.50",Belize,Diesel and Equipment Company Limited BDZ,$,2227774.5,2227774.5,https://www.caribank.org/sites/default/files/publication-resources/CONTRACT_AWARD_INFORMATION%20%28Goods%29%206%20TYPE%20III%20AMBULANCES_0.pdf,https://www.caribank.org/work-with-us/procurement/contract-awards?solr_publication_contract_awards_years_filter=2020&page=3,CDB
2020,CDB2020-033,School Supplies - Primary and Secondary,Education,British Virgin Islands,Goods,": Antigua and Barbuda- Massy Technologies for Lot 1, and BVI- Island Services BVI Limited for Lot 3 a &amp; b. Lot 1: $257,450.00 Lot 3 a &amp; b: $618,325.12",Antigua and Barbuda,"- Massy Technologies for Lot 1, and BVI- Island Services BVI Limited for Lot 3 a &amp; b. Lot 1: Lot 3 a &amp; b: $618,325.12",$,257450.0,257450.0,https://www.caribank.org/sites/default/files/publication-resources/Contract-Award-Notice%20-%20School%20Supplies%20-%20Primary%20and%20Secondary.pdf,https://www.caribank.org/work-with-us/procurement/contract-awards?solr_publication_contract_awards_years_filter=2020&page=3,CDB
2020,CDB2020-034,Construction of Concrete Pads Relating to Weather Station and Seismic Equipment,Infrastructure,British Virgin Islands,Works,"BVI- SunLeaf Construction Ltd. USD $66,289.00",,BVI- SunLeaf Construction Ltd.,USD,66289.0,66289.0,https://www.caribank.org/sites/default/files/publication-resources/Contract-Award-Notice%20-%20DDM%20Equipment%20-%20Civil%20Works.pdf,https://www.caribank.org/work-with-us/procurement/contract-awards?solr_publication_contract_awards_years_filter=2020&page=3,CDB
2020,CDB2020-035,BUILDING RESILIENCE OF THE ELECTRICITY SECTOR INFRASTRUCTURE TO GEOPHYSICAL AND CLIMATE RELATED HAZARDS,Climate,Saint Vincent and the Grenadines,Consultancy,"Canada- CBCL Limited Consulting Engineers US$666,398",Canada,- CBCL Limited Consulting Engineers,US$,666398.0,666398.0,https://www.caribank.org/sites/default/files/publication-resources/Contract-Award-Information-GA%2042STV.pdf,https://www.caribank.org/work-with-us/procurement/contract-awards?solr_publication_contract_awards_years_filter=2020&page=3,CDB
2020,CDB2020-036,"Design Review and Construction Supervision (Bexon, Bexon Heights, Sarrot, La Ressource 2-5)",Infrastructure,Saint Lucia,Consultancy,"St. Lucia - Engineering, Construction and Management Consulting (ECMC) Ltd US$813,728",St. Lucia,"- Engineering, Construction and Management Consulting (ECMC) Ltd",US$,813728.0,813728.0,https://www.caribank.org/sites/default/files/publication-resources/Scanned%20from%20a%20Xerox%20Multifunction%20Printer%20%287%29.pdf,https://www.caribank.org/work-with-us/procurement/contract-awards?solr_publication_contract_awards_years_filter=2020&page=3,CDB
2020,CDB2020-037,construction works of the Practical Instruction Centre and Seven Teacher Housing Accommodations at Apoera,Infrastructure,Suriname,Works,"Suriname N.V. A.B.C. US$ 3,594,317.63",Suriname,N.V. A.B.C.,US$,3594317.63,3594317.63,https://www.caribank.org/sites/default/files/publication-resources/CONTRACT_AWARD_INFORMATION_APOERA_18122019%2019122019%20%281%29.pdf,https://www.caribank.org/work-with-us/procurement/contract-awards?solr_publication_contract_awards_years_filter=2020&page=3,CDB
2020,CDB2020-038,Energy Audits for Public Buildings,Climate,Antigua and Barbuda,Consultancy,"Canada CBCL Ltd. US$ 95,940",Canada,CBCL Ltd.,US$,95940.0,95940.0,https://www.caribank.org/sites/default/files/publication-resources/Contract-Award-Information%20Antigua%20Barbuda%20%281%29.pdf,https://www.caribank.org/work-with-us/procurement/contract-awards?solr_publication_contract_awards_years_filter=2020&page=3,CDB
2020,CDB2020-039,Supply of LED Street Lights for St. Kitts and Nevis,Climate,Saint Kitts and Nevis,Goods,"United States- Acuity Brands Lighting Inc US$1,786,019.30",United States,- Acuity Brands Lighting Inc,US$,1786019.3,1786019.3,https://www.caribank.org/sites/default/files/publication-resources/Contract%20Award%20Notice%202.pdf,https://www.caribank.org/work-with-us/procurement/contract-awards?solr_publication_contract_awards_years_filter=2020&page=3,CDB
2020,CDB2020-040,Completion of Detailed Final Designs of Cul De Sac Roundabout,Infrastructure,Saint Lucia,Consultancy,"St. Lucia Theobalds Consulting Ltd. US$ 75,000",St. Lucia,Theobalds Consulting Ltd.,US$,75000.0,75000.0,https://www.caribank.org/sites/default/files/publication-resources/CONTRACT%20AWARD%20INFORMATION%28CONSULTANCY_SERVICES%29%20%281%29.pdf,https://www.caribank.org/work-with-us/procurement/contract-awards?solr_publication_contract_awards_years_filter=2020&page=3,CDB
2021,CDB2021-001,"LIBERTAD VILLAGE AND CONCEPCION VILLAGE JOINT WATER SUPPLY SYSTEM REHABILITATION, COROZAL DISTRICT, BELIZE",Infrastructure,Belize,Works,"Belize - FT Williams &amp; Associates Ltd. BZD $1,339,525.03",Belize,- FT Williams &amp; Associates Ltd.,BZD,1339525.03,669762.52,https://www.caribank.org/sites/default/files/publication-resources/220114_BZE_BSIF3_Libertad%20Village%20%20Concepcion%20Village_W_Joint%20Water%20Supply%20System%20Rehab_CAI.pdf,https://www.caribank.org/work-with-us/procurement/contract-awards?solr_publication_contract_awards_years_filter=2021,CDB
2021,CDB2021-002,"Corozal and Orange Walk Reinforcement and Upgrade, Sixth Power Project (Belize)",Infrastructure,Belize,Goods,"Colombia - Sucursal ABB PG, S.A. USD591,112.00",Colombia,"- Sucursal ABB PG, S.A.",USD,591112.0,591112.0,https://www.caribank.org/sites/default/files/publication-resources/BZE_Sixth%20Power_G_Power%20Transformer_CAI.pdf,https://www.caribank.org/work-with-us/procurement/contract-awards?solr_publication_contract_awards_years_filter=2021,CDB
2021,CDB2021-003,Sustainability Management Plan -Grantley Adams International Airport Pavement Rehabilitation and Expansion Project - Barbados,Tourism,Barbados,Works,"Canada - Integrated Sustainability USD119,920.00 plus applicable VAT and Foreign Exchange Levy",Canada,- Integrated Sustainability plus applicable VAT and Foreign Exchange Levy,USD,119920.0,119920.0,https://www.caribank.org/sites/default/files/publication-resources/BAR_GAIA%20Pavement%20Rehab_CS_Sustainability%20Mgmt%20Plan_CAI_AMH%2004102021.pdf,https://www.caribank.org/work-with-us/procurement/contract-awards?solr_publication_contract_awards_years_filter=2021,CDB
2021,CDB2021-004,Climate Resilient Coastal Protection and Management - Turks and Caicos Islands,,Turks and Caicos Islands,Consultancy,"Canada - CBCL Ltd. USD718,900.00",Canada,- CBCL Ltd.,USD,718900.0,718900.0,https://www.caribank.org/sites/default/files/publication-resources/TCI_Climate%20Resilience_CS_CAI_TR18_57%2004102021.pdf,https://www.caribank.org/work-with-us/procurement/contract-awards?solr_publication_contract_awards_years_filter=2021,CDB
2021,CDB2021-005,Street Light Retrofit and Advanced Metering Infrastructure Project,,Suriname,Works,"Suriname - B.A.P. Waste Management USD66,650.00",Suriname,- B.A.P. Waste Management,USD,66650.0,66650.0,https://www.caribank.org/sites/default/files/publication-resources/Suriname%20-%20Contract%20Award%20information-Waste%20Disposal.pdf,https://www.caribank.org/work-with-us/procurement/contract-awards?solr_publication_contract_awards_years_filter=2021,CDB
2021,CDB2021-006,Readiness Support for Strengthening Belize Private Sector Access to Climate Finance,,Belize,Consultancy,"United Kingdom - Willis Tower Watson USD131,947.00",United Kingdom,- Willis Tower Watson,USD,131947.0,131947.0,https://www.caribank.org/sites/default/files/publication-resources/Belize%20-%20CONTRACT%20AWARD%20INFORMATION%28CONSULTANCY_SERVICES.pdf,https://www.caribank.org/work-with-us/procurement/contract-awards?solr_publication_contract_awards_years_filter=2021,CDB
2021,CDB2021-007,"Procurement of 30,000 LED Street Light Luminaires and 27,000 Photo Controls - The Bahamas",Poverty Alleviation,The Bahamas,Goods,"Canada - LED Roadway Lighting Ltd BSD4,992,040.00",Canada,- LED Roadway Lighting Ltd,BSD,4992040.0,4992040.0,https://www.caribank.org/sites/default/files/publication-resources/210915_Contract%20award%20information%20procurement%20of%20luminaires.pdf,https://www.caribank.org/work-with-us/procurement/contract-awards?solr_publication_contract_awards_years_filter=2021,CDB
2021,CDB2021-008,Energy Efficiency Measures and Solar Photovoltaic Plant – St. Vincent and the Grenadines,Climate,Saint Vincent and the Grenadines,Works,"Canada - OZZ Electric USD1,321,934.00",Canada,- OZZ Electric,USD,1321934.0,1321934.0,https://www.caribank.org/sites/default/files/publication-resources/210915_Contract%20Award%20Information%20%28Solar%20PV%29%20%281%29.pdf,https://www.caribank.org/work-with-us/procurement/contract-awards?solr_publication_contract_awards_years_filter=2021,CDB
2021,CDB2021-009,TRANSFORMING FINANCE TO UNLOCK CLIMATE ACTION IN THE CARIBBEAN” PROGRAMME,Climate,CDB,Consultancy,"Consortium – Internationale Projekt Consult (IPC) GmbH and UNIQUE Forestry and Land Use GmbH - Germany USD455,866",,Consortium – Internationale Projekt Consult (IPC) GmbH and UNIQUE Forestry and Land Use GmbH - Germany,USD,455866.0,455866.0,https://www.caribank.org/sites/default/files/publication-resources/Contract%20Award%20notification_GCF%20PPF-033.pdf,https://www.caribank.org/work-with-us/procurement/contract-awards?solr_publication_contract_awards_years_filter=2021,CDB
2021,CDB2021-010,"CALCUTTA GOVERNMENT PRIMARY AND PRE-PRIMARY SCHOOL BUILDING CONSTRUCTION, CALCUTTA VILLAGE, BELIZE",Infrastructure,Belize,Works,"LV &amp; Sons Construction Ltd. BZD 1,299,450.00",,LV &amp; Sons Construction Ltd.,BZD,1299450.0,649725.0,https://www.caribank.org/sites/default/files/publication-resources/210521%20Contract%20Award%20Notice%20-%20Calcutta%20Government%20Primary%20and%20Pre-Primary%20School%20-%20Revised.pdf,https://www.caribank.org/work-with-us/procurement/contract-awards?solr_publication_contract_awards_years_filter=2021,CDB
2021,CDB2021-011,PHILIP GOLDSON HIGHWAY AND REMATE BYPASS UPGRADING PROJECT - LOT 1,Infrastructure,Belize,Works,"Teichroeb &amp; Sons Ltd. (Belize) USD 5,265,432.74",,Teichroeb &amp; Sons Ltd. (Belize),USD,5265432.74,5265432.74,https://www.caribank.org/sites/default/files/publication-resources/Contract%20Award%20Notice_Civil%20Works_PGHP_CDB_27.05.pdf,https://www.caribank.org/work-with-us/procurement/contract-awards?solr_publication_contract_awards_years_filter=2021&page=1,CDB
2021,CDB2021-012,PHILIP GOLDSON HIGHWAY AND REMATE BYPASS UPGRADING PROJECT - LOT 2,Infrastructure,Belize,Works,"Cisco Construction Ltd. (Belize) USD 13,539,651.16",,Cisco Construction Ltd. (Belize),USD,13539651.16,13539651.16,https://www.caribank.org/sites/default/files/publication-resources/Contract%20Award%20Notice_Civil%20Works_PGHP_CDB_27.05.pdf,https://www.caribank.org/work-with-us/procurement/contract-awards?solr_publication_contract_awards_years_filter=2021&page=1,CDB
2021,CDB2021-013,PHILIP GOLDSON HIGHWAY AND REMATE BYPASS UPGRADING PROJECT - LOT 3,Infrastructure,Belize,Works,"Cisco Construction Ltd. (Belize) USD 10,965,889.35",,Cisco Construction Ltd. (Belize),USD,10965889.35,10965889.35,https://www.caribank.org/sites/default/files/publication-resources/Contract%20Award%20Notice_Civil%20Works_PGHP_CDB_27.05.pdf,https://www.caribank.org/work-with-us/procurement/contract-awards?solr_publication_contract_awards_years_filter=2021&page=1,CDB
2021,CDB2021-014,PHILIP GOLDSON HIGHWAY AND REMATE BYPASS UPGRADING PROJECT - LOT 4,Infrastructure,Belize,Works,"Teichroeb &amp; Sons Ltd. (Belize) USD 9,895,739.35",,Teichroeb &amp; Sons Ltd. (Belize),USD,9895739.35,9895739.35,https://www.caribank.org/sites/default/files/publication-resources/Contract%20Award%20Notice_Civil%20Works_PGHP_CDB_27.05.pdf,https://www.caribank.org/work-with-us/procurement/contract-awards?solr_publication_contract_awards_years_filter=2021&page=1,CDB
2021,CDB2021-015,Millennium Highway and West Coast Road Reconstruction - Lot 1,Infrastructure,Saint Lucia,Works,"C.O. Williams Construction Ltd. EC$ 38,539,873.23",,C.O. Williams Construction Ltd.,EC$,38539873.23,14274027.12,https://www.caribank.org/sites/default/files/publication-resources/210602%20SLU%20-%20MHWCRP%20-%2073599%20-%20CONTRACT%20AWARD%20INFORMATION%20%28WORKS%29%20Lot%201.pdf,https://www.caribank.org/work-with-us/procurement/contract-awards?solr_publication_contract_awards_years_filter=2021&page=1,CDB
2021,CDB2021-016,CONSTRUCTION SUPERVISION SERVICES-SECOND ROAD INFRASTRUCTURE REHABILITATION PROJECT,Infrastructure,Antigua and Barbuda,Consultancy,"St. Lucia- Engineering Construction and Management Consulting (ECMC) Ltd USD $828,911.00",St. Lucia,- Engineering Construction and Management Consulting (ECMC) Ltd,USD,828911.0,828911.0,https://www.caribank.org/sites/default/files/publication-resources/Contract-Award-Information-%20ECMC.pdf,https://www.caribank.org/work-with-us/procurement/contract-awards?solr_publication_contract_awards_years_filter=2021&page=1,CDB
2021,CDB2021-017,SUPPLY AND INSTALLATION OF A SEA WATER REVERSE OSMOSIS DESALINATION PLANT,Water Resource Management,Antigua and Barbuda,Goods,"Antigua &amp; Barbuda-Caribbean Water Treatment Ltd USD $404,209.00",,Antigua &amp; Barbuda-Caribbean Water Treatment Ltd,USD,404209.0,404209.0,https://www.caribank.org/sites/default/files/publication-resources/Contract-Award%20-%20RO%20Plant.pdf,https://www.caribank.org/work-with-us/procurement/contract-awards?solr_publication_contract_awards_years_filter=2021&page=1,CDB
2021,CDB2021-018,SUPPLY OF 2 GLASS FUSED WATER STORAGE TANKS,Water Resource Management,Antigua and Barbuda,Goods,"St. Lucia- Caribbean WaterTek Inc. USD $380,304.13",St. Lucia,- Caribbean WaterTek Inc.,USD,380304.13,380304.13,https://www.caribank.org/sites/default/files/publication-resources/Contract-Award%20-%20Storage%20Tanks.pdf,https://www.caribank.org/work-with-us/procurement/contract-awards?solr_publication_contract_awards_years_filter=2021&page=1,CDB
2021,CDB2021-019,BUILDING WORKS DESIGN AND CONSTRUCTION SUPERVISION,Infrastructure,Antigua and Barbuda,Consultancy,"Canada/St. Lucia-Coles Associates &amp; Amana Consulting Ltd USD $382,049.00",Canada; St. Lucia,-Coles Associates &amp; Amana Consulting Ltd,USD,382049.0,382049.0,https://www.caribank.org/sites/default/files/publication-resources/Contract-Award-Information-Coles%20Associates.pdf,https://www.caribank.org/work-with-us/procurement/contract-awards?solr_publication_contract_awards_years_filter=2021&page=1,CDB
